Gene,sgRNA,t1_Fe_deplete|beta,t1_Fe_deplete|z,t1_Fe_deplete|p-value,t1_Fe_deplete|fdr,t1_Fe_deplete|wald-p-value,t1_Fe_deplete|wald-fdr,t1_Mn_deplete|beta,t1_Mn_deplete|z,t1_Mn_deplete|p-value,t1_Mn_deplete|fdr,t1_Mn_deplete|wald-p-value,t1_Mn_deplete|wald-fdr,t1_Fe_replete|beta,t1_Fe_replete|z,t1_Fe_replete|p-value,t1_Fe_replete|fdr,t1_Fe_replete|wald-p-value,t1_Fe_replete|wald-fdr,t1_Fe_deplete_vs_t1_Mn_deplete_delta_beta,t1_Fe_deplete_vs_t1_Mn_deplete_fdr,t1_Fe_deplete_vs_t1_Fe_replete_delta_beta,t1_Fe_deplete_vs_t1_Fe_replete_fdr,t1_Mn_deplete_vs_t1_Fe_deplete_delta_beta,t1_Mn_deplete_vs_t1_Fe_deplete_fdr,t1_Mn_deplete_vs_t1_Fe_replete_delta_beta,t1_Mn_deplete_vs_t1_Fe_replete_fdr,Significance_Tier
Phatr3_EG01435,4,-1.3863666666666667,-0.22802,0.00063524,0.06281,0.81963,0.89227,2.688133333333333,0.65384,0.040622,0.59342,0.51322,0.62948,-0.6955933333333334,-0.1843,0.021281,0.53666,0.85377,0.94031,-4.0745,0.0,-0.6907733333333334,0.9128897518409308,4.0745,0.0,3.3837266666666665,0.0010044567289533,Tier 1 (Hard)
Phatr3_J34625,3,-0.4004333333333332,-0.027863,0.19121,0.84737,0.97777,0.99516,3.2589,0.31771,0.013607,0.45027,0.7507,0.81368,-0.086455,-0.027524,0.25403,0.87029,0.97804,1.0,-3.6593333333333335,0.0,-0.3139783333333332,0.9752075490781338,3.6593333333333335,0.0,3.345355,0.0010108266488669,Tier 1 (Hard)
Phatr3_J46409,7,-1.6655,-0.87025,1.6717e-05,0.0034783,0.38416,0.72576,1.8492,1.5669,0.23454,0.83509,0.11713,0.58685,-1.24472,-0.94381,0.00066867,0.061069,0.34527,0.79149,-3.5147,0.0,-0.4207799999999999,0.9752075490781338,3.5147,0.0,3.09392,0.0040591078999663,Tier 1 (Hard)
Phatr3_J51811,7,-1.727666666666667,-1.0187,1.6717e-05,0.0034783,0.30835,0.72576,1.7522333333333335,1.642,0.30821,0.86538,0.1006,0.58685,-1.12904,-0.98629,0.0011033,0.092958,0.32399,0.79149,-3.4799,0.0,-0.5986266666666666,0.9669838199593934,3.4799,0.0,2.8812733333333336,0.0085132587870928,Tier 1 (Hard)
Phatr3_J47323,7,-1.2859033333333334,-0.43483,0.00061852,0.061667,0.66369,0.79467,2.1437666666666666,1.2103,0.094584,0.72068,0.22618,0.58685,-0.4729066666666666,-0.27642,0.023203,0.53666,0.78222,0.9062,-3.42967,0.0,-0.8129966666666668,0.8031457362856071,3.42967,0.0,2.6166733333333334,0.0180993349560459,Tier 1 (Hard)
Phatr3_J9987,7,-1.33042,-0.50408,0.0005015,0.051282,0.61421,0.76995,1.9245666666666663,1.3563,0.18584,0.81233,0.17499,0.58685,-0.8959233333333333,-0.57234,0.0045135,0.27,0.56709,0.82254,-3.2549866666666665,0.0,-0.4344966666666666,0.9752075490781338,3.2549866666666665,0.0,2.82049,0.0103115576659304,Tier 1 (Hard)
Phatr3_J34241,7,-1.4649333333333334,-0.75407,0.00025075,0.025862,0.45081,0.72576,1.7684,1.5163,0.29418,0.86267,0.12945,0.58685,-0.8288166666666666,-0.70034,0.0061184,0.32105,0.48371,0.80335,-3.2333333333333334,0.0,-0.6361166666666668,0.9518385080078074,3.2333333333333334,0.0,2.5972166666666667,0.0196847956609086,Tier 1 (Hard)
Phatr3_J43570,7,-0.7005866666666666,-0.1659,0.0081244,0.39755,0.86823,0.924,2.514533333333333,0.94904,0.01986,0.50339,0.3426,0.58685,-0.4994333333333333,-0.22007,0.021765,0.53666,0.82582,0.92787,-3.21512,0.0,-0.2011533333333332,0.9829245336201544,3.21512,0.0,3.0139666666666662,0.0052925844409073,Tier 1 (Hard)
Phatr3_J35855,1,1.7540333333333331,0.0040659,0.55067,0.92706,0.99676,1.0,4.939033333333334,0.016355,0.0033768,0.21376,0.98695,0.99948,2.5546666666666664,0.005649,0.34962,0.89644,0.99549,1.0,-3.1850000000000005,2.2713144496513207e-13,-0.8006333333333331,0.8119731963733178,3.1850000000000005,2.2713144496513207e-13,2.384366666666667,0.0417525104375955,Tier 1 (Hard)
Phatr3_J49629,7,-1.21094,-0.57074,0.00075226,0.072581,0.56818,0.75115,1.9688333333333332,1.5148,0.16473,0.80472,0.12982,0.58685,-0.7484633333333334,-0.59141,0.008559,0.37883,0.55424,0.81883,-3.1797733333333333,2.2713144496513207e-13,-0.4624766666666665,0.9752075490781338,3.1797733333333333,2.2713144496513207e-13,2.717296666666667,0.0135661292534553,Tier 1 (Hard)
Phatr3_J43026,7,-1.21537,-0.48275,0.00075226,0.072581,0.62927,0.77743,1.957833333333333,1.3745,0.16959,0.80688,0.16929,0.58685,-0.8058466666666666,-0.54775,0.0067369,0.34008,0.58386,0.82765,-3.1732033333333334,2.2713144496513207e-13,-0.4095233333333334,0.9752075490781338,3.1732033333333334,2.2713144496513207e-13,2.76368,0.0119024531374054,Tier 1 (Hard)
Phatr3_J31474,7,-1.1147066666666667,-0.45268,0.0012872,0.11846,0.65078,0.78858,2.012466666666666,1.4032,0.1461,0.78677,0.16056,0.58685,-0.7701366666666667,-0.54129,0.0078402,0.36809,0.5883,0.82931,-3.1271733333333334,4.1640764910274203e-13,-0.34457,0.9752075490781338,3.1271733333333334,4.1640764910274203e-13,2.7826033333333333,0.0119024531374054,Tier 1 (Hard)
Phatr3_J40550,7,-0.9744966666666668,-0.26665,0.0024239,0.2,0.78974,0.87211,2.146033333333333,1.1016,0.093531,0.71967,0.27062,0.58685,-0.5949066666666667,-0.2975,0.015112,0.4677,0.76609,0.89884,-3.12053,5.765644372191813e-13,-0.37959,0.9752075490781338,3.12053,5.765644372191813e-13,2.74094,0.0125070218591211,Tier 1 (Hard)
Phatr3_J49387,7,-0.8836466666666666,-0.24784,0.0035774,0.2642,0.80426,0.88147,2.2048,1.0877,0.077265,0.70404,0.27673,0.58685,0.114273,-0.026805,0.11851,0.72406,0.97861,1.0,-3.0884466666666666,1.070762526264194e-12,-0.9979196666666664,0.6033322993779914,3.0884466666666666,1.070762526264194e-12,2.090527,0.0955790491836106,Tier 1 (Hard)
Phatr3_J49114,7,-0.9950866666666666,-0.38319,0.0020227,0.17163,0.70158,0.815,2.0078333333333336,1.4148,0.14728,0.78677,0.15713,0.58685,-0.9262966666666668,-0.62441,0.0038449,0.24599,0.53236,0.81428,-3.00292,5.4653503944734886e-12,-0.0687899999999999,0.9945718610940522,3.00292,5.4653503944734886e-12,2.93413,0.0073947076802796,Tier 1 (Hard)
Phatr3_J50806,7,-0.86875,-0.25251,0.0038282,0.27262,0.80065,0.87985,2.132133333333333,1.141,0.099398,0.7242,0.25385,0.58685,-0.33465,-0.20136,0.034888,0.58914,0.84042,0.93432,-3.0008833333333333,5.4653503944734886e-12,-0.5341,0.9752075490781338,3.0008833333333333,5.4653503944734886e-12,2.4667833333333333,0.0333121393689464,Tier 1 (Hard)
Phatr3_J49830,1,-0.178331,-0.010184,0.80463,0.97564,0.99187,1.0,2.7398666666666665,0.23336,0.18726,0.81292,0.81548,0.86401,0.1523286666666666,-0.002368,0.9006,0.98868,0.99811,1.0,-2.9181976666666665,2.7042002624083952e-11,-0.3306596666666667,0.9752075490781338,2.9181976666666665,2.7042002624083952e-11,2.587538,0.0200197082878482,Tier 1 (Hard)
Phatr3_J33007,7,-0.7834866666666667,-0.22932,0.0058509,0.35939,0.81862,0.89164,2.1243666666666665,1.1615,0.10254,0.72432,0.24542,0.58685,-0.76233,-0.42506,0.0079906,0.37054,0.67079,0.85631,-2.907853333333333,3.136937623240657e-11,-0.0211566666666667,0.9988170620855368,2.907853333333333,3.136937623240657e-11,2.8866966666666665,0.0085132587870928,Tier 1 (Hard)
Phatr3_J46817,7,-0.8169833333333334,-0.26196,0.0052156,0.34239,0.79335,0.87471,2.0788333333333333,1.2963,0.11605,0.74882,0.19487,0.58685,-0.8023666666666666,-0.4847,0.0068706,0.34538,0.62789,0.84212,-2.8958166666666667,3.7739682723943245e-11,-0.0146166666666668,0.9991501050629954,2.8958166666666667,3.7739682723943245e-11,2.8812,0.0085132587870928,Tier 1 (Hard)
Phatr3_J44374,7,-1.0983566666666666,-0.61147,0.0013875,0.12672,0.54089,0.74078,1.7897333333333334,1.582,0.27797,0.85396,0.11366,0.58685,-0.5388700000000001,-0.51973,0.018857,0.51982,0.60325,0.83417,-2.88809,4.1724046440094745e-11,-0.5594866666666666,0.9752075490781338,2.88809,4.1724046440094745e-11,2.3286033333333336,0.0479990696022986,Tier 1 (Hard)
Phatr3_J27972,7,-1.1489366666666667,-0.69214,0.0010532,0.1,0.48885,0.72576,1.7332666666666663,1.679,0.32282,0.86692,0.093149,0.58685,-0.8376533333333334,-0.87686,0.0058509,0.3139,0.38056,0.79149,-2.882203333333333,4.461510526100808e-11,-0.3112833333333333,0.9752075490781338,2.882203333333333,4.461510526100808e-11,2.57092,0.0206870476953293,Tier 1 (Hard)
Phatr3_J18246,7,-0.8453733333333333,-0.32395,0.0043798,0.30115,0.74597,0.84349,2.0272,1.1823,0.13982,0.77923,0.23707,0.58685,0.86231,0.31936,0.5441,0.9294,0.74946,0.89341,-2.872573333333333,5.144527228460241e-11,-1.7076833333333332,0.0583157366766295,2.872573333333333,5.144527228460241e-11,1.1648900000000002,0.7571300167082138,Tier 1 (Hard)
Phatr3_J47041,7,-1.000206666666667,-0.52231,0.002006,0.17143,0.60146,0.76486,1.8598666666666668,1.5019,0.22772,0.83323,0.13313,0.58685,-0.5144233333333333,-0.46184,0.020779,0.53666,0.6442,0.84555,-2.860073333333333,6.069141485672465e-11,-0.4857833333333333,0.9752075490781338,2.860073333333333,6.069141485672465e-11,2.37429,0.0427356049698565,Tier 1 (Hard)
Phatr3_J12452,7,-0.8384233333333334,-0.29043,0.0046306,0.31348,0.77148,0.86021,2.021233333333333,1.3906,0.14221,0.78046,0.16436,0.58685,-0.0708077333333333,-0.14309,0.070712,0.66976,0.88622,0.95758,-2.859656666666667,6.069141485672465e-11,-0.7676156000000001,0.8414764366400218,2.859656666666667,6.069141485672465e-11,2.092041066666667,0.0955790491836106,Tier 1 (Hard)
Phatr3_J7072,7,-1.2610633333333332,-0.70932,0.00065196,0.063934,0.47813,0.72576,1.5960333333333334,1.3791,0.45217,0.89262,0.16785,0.58685,-0.0677433333333333,-0.20898,0.071097,0.66976,0.83446,0.9313,-2.8570966666666666,6.126189333599542e-11,-1.19332,0.3799834342967634,2.8570966666666666,6.126189333599542e-11,1.663776666666667,0.294881170674253,Tier 1 (Hard)
Phatr3_J46694,7,-1.1974533333333337,-0.87542,0.00090271,0.0864,0.38135,0.72576,1.6407999999999998,1.7641,0.41249,0.88793,0.077723,0.58685,-0.59739,-0.74894,0.014911,0.4677,0.45389,0.79783,-2.8382533333333333,8.494716041695938e-11,-0.6000633333333335,0.9663247005789668,2.8382533333333333,8.494716041695938e-11,2.23819,0.0627820974856674,Tier 1 (Hard)
Phatr3_J43364,7,-0.8657266666666666,-0.23504,0.0039285,0.27811,0.81418,0.88841,1.9525,1.0302,0.17151,0.80688,0.30293,0.58685,-0.65632,-0.32427,0.011769,0.4203,0.74573,0.89156,-2.8182266666666664,1.2048061314039335e-10,-0.2094066666666666,0.9793665906017792,2.8182266666666664,1.2048061314039335e-10,2.60882,0.0186527779104479,Tier 1 (Hard)
Phatr3_J33584,7,-1.130966666666667,-0.6223,0.0012203,0.11496,0.53374,0.73919,1.6788666666666667,1.5951,0.37155,0.87599,0.11069,0.58685,-0.7972866666666666,-0.75772,0.0069542,0.34667,0.44862,0.79624,-2.8098333333333336,1.365222220986847e-10,-0.3336800000000001,0.9752075490781338,2.8098333333333336,1.365222220986847e-10,2.476153333333333,0.031921729095332,Tier 1 (Hard)
Phatr3_J50241,7,-0.45808,-0.10212,0.020996,0.54471,0.91866,0.95706,2.2915,0.96673,0.056369,0.61492,0.33368,0.58685,0.7193866666666667,0.1645,0.42703,0.90454,0.86934,0.94865,-2.74958,4.140527920526438e-10,-1.1774666666666669,0.3969048332683531,2.74958,4.140527920526438e-10,1.5721133333333333,0.3647038180813839,Tier 1 (Hard)
Phatr3_J48573,7,-1.2999733333333332,-1.0243,0.00058509,0.058824,0.30569,0.72576,1.4323,1.831,0.64082,0.94594,0.067106,0.58685,-0.76552,-1.0205,0.0079071,0.36809,0.30749,0.79149,-2.732273333333333,5.535723287171853e-10,-0.5344533333333332,0.9752075490781338,2.732273333333333,5.535723287171853e-10,2.19782,0.0697142998409212,Tier 1 (Hard)
Phatr3_EG01075,7,-0.6847599999999999,-0.21434,0.0088265,0.41085,0.83028,0.8992,2.0229,1.1941,0.14124,0.78015,0.23245,0.58685,-0.74191,-0.43538,0.0086593,0.37883,0.66329,0.85366,-2.70766,8.231598458419143e-10,0.05715,0.9949868164457096,2.70766,8.231598458419143e-10,2.76481,0.0119024531374054,Tier 1 (Hard)
Phatr3_J22187,7,-0.99277,-0.62661,0.0020562,0.17324,0.53092,0.73824,1.7147,1.6448,0.34122,0.87345,0.10002,0.58685,-0.7231299999999999,-0.79188,0.0092778,0.39643,0.42843,0.79428,-2.70747,8.231598458419143e-10,-0.2696400000000001,0.9752075490781338,2.70747,8.231598458419143e-10,2.43783,0.0360268970201406,Tier 1 (Hard)
Phatr3_J20809,7,-0.7803399999999999,-0.2608,0.005901,0.35939,0.79424,0.87523,1.923266666666667,1.192,0.18666,0.81273,0.23326,0.58685,-0.278318,-0.21386,0.041357,0.60629,0.83065,0.92952,-2.7036066666666665,8.573454942617183e-10,-0.502022,0.9752075490781338,2.7036066666666665,8.573454942617183e-10,2.2015846666666667,0.0697142998409212,Tier 1 (Hard)
Phatr3_EG00478,7,-0.06930797,-0.00017584,0.067436,0.64647,0.99986,1.0,2.6128666666666667,0.8013,0.012989,0.444,0.42296,0.58726,0.7859366666666666,0.13796,0.47899,0.91807,0.89027,0.95974,-2.682174636666667,1.2350405926711383e-09,-0.8552446366666666,0.767216290901577,2.682174636666667,1.2350405926711383e-09,1.82693,0.1922045794437794,Tier 1 (Hard)
Phatr3_J17683,7,-1.1281133333333333,-0.95409,0.0012705,0.11783,0.34004,0.72576,1.501866666666667,1.7783,0.55507,0.92703,0.075357,0.58685,-0.5910933333333334,-0.86547,0.015196,0.46787,0.38678,0.79149,-2.62998,3.098786751008577e-09,-0.5370199999999999,0.9752075490781338,2.62998,3.098786751008577e-09,2.09296,0.0955790491836106,Tier 1 (Hard)
Phatr3_EG01551,1,2.5411,0.0052569,0.31506,0.86757,0.99581,1.0,5.160233333333333,0.014906,0.0027416,0.18427,0.98811,1.0,4.939033333333334,0.0078501,0.040104,0.60621,0.99374,1.0,-2.619133333333333,3.661194853461009e-09,-2.397933333333333,0.0015251568503477,2.619133333333333,3.661194853461009e-09,0.2211999999999996,0.9838887597810142,Tier 1 (Hard)
Phatr3_EG01492,7,-0.6634433333333334,-0.30329,0.0095286,0.42066,0.76167,0.85375,1.9380333333333333,1.5806,0.17899,0.81189,0.11396,0.58685,-0.58746,-0.52444,0.015313,0.46974,0.59997,0.83349,-2.6014766666666667,4.884529249539883e-09,-0.0759833333333334,0.9940094336855764,2.6014766666666667,4.884529249539883e-09,2.5254933333333334,0.0256609575453329,Tier 1 (Hard)
Phatr3_J27508,2,-1.063753333333333,-0.42164,0.026463,0.57336,0.67329,0.8,1.5227000000000002,0.74682,0.60791,0.93786,0.45517,0.59906,-0.61505,-0.40576,0.050752,0.63382,0.68492,0.86208,-2.586453333333333,6.211399488321197e-09,-0.4487033333333333,0.9752075490781338,2.586453333333333,6.211399488321197e-09,2.13775,0.0844970604871665,Tier 1 (Hard)
Phatr3_J43122,7,-1.0551833333333334,-0.7794,0.0016048,0.1437,0.43574,0.72576,1.5280333333333331,1.6684,0.52745,0.92212,0.095232,0.58685,-0.3370566666666666,-0.47708,0.034838,0.58914,0.6333,0.84374,-2.5832166666666665,6.409218409558912e-09,-0.7181266666666668,0.888795414501077,2.5832166666666665,6.409218409558912e-09,1.86509,0.1769288094494016,Tier 1 (Hard)
Phatr3_J2966,7,-0.6995333333333335,-0.33184,0.0081411,0.39755,0.74001,0.83972,1.8795333333333333,1.5102,0.21399,0.82589,0.131,0.58685,-0.4752633333333333,-0.43653,0.023153,0.53666,0.66245,0.85365,-2.579066666666667,6.724941892244374e-09,-0.22427,0.9793665906017792,2.579066666666667,6.724941892244374e-09,2.354796666666667,0.0441704503299274,Tier 1 (Hard)
Phatr3_J43638,7,-0.2551853333333333,-0.062031,0.041107,0.59976,0.95054,0.97861,2.3065,1.0499,0.053377,0.61333,0.29376,0.58685,0.56174,0.12479,0.32835,0.89277,0.90069,0.96541,-2.561685333333333,8.79399416778678e-09,-0.8169253333333333,0.7992143510256394,2.561685333333333,8.79399416778678e-09,1.74476,0.2445233011445295,Tier 1 (Hard)
Phatr3_J52551,7,-0.3075009999999999,-0.069484,0.035724,0.58871,0.9446,0.97433,2.2535666666666665,0.96933,0.066215,0.66293,0.33238,0.58685,0.1374753333333333,-0.013544,0.12494,0.73177,0.98919,1.0,-2.5610676666666663,8.79399416778678e-09,-0.4449763333333333,0.9752075490781338,2.5610676666666663,8.79399416778678e-09,2.1160913333333333,0.0905463417226892,Tier 1 (Hard)
Phatr3_Jdraft251,4,-0.9497266666666668,-0.44275,0.01003,0.42199,0.65795,0.79182,1.5934333333333337,0.95323,0.50062,0.91148,0.34047,0.58685,-0.4195233333333333,-0.35183,0.063541,0.65282,0.72496,0.88161,-2.5431600000000003,1.1750016732202482e-08,-0.5302033333333334,0.9752075490781338,2.5431600000000003,1.1750016732202482e-08,2.0129566666666667,0.1172977412443917,Tier 1 (Hard)
Phatr3_J43220,7,-1.00334,-0.936,0.0019559,0.16835,0.34927,0.72576,1.5324666666666669,1.9478,0.52177,0.91989,0.05144,0.58685,-0.295657,-0.53462,0.039585,0.60621,0.59291,0.83082,-2.5358066666666668,1.3051597439170141e-08,-0.7076829999999998,0.9013810246205736,2.5358066666666668,1.3051597439170141e-08,1.828123666666667,0.1920914059807231,Tier 1 (Hard)
Phatr3_J49447,7,-0.4195233333333333,-0.14481,0.023571,0.55442,0.88486,0.93579,2.114333333333333,1.2348,0.10603,0.73061,0.2169,0.58685,0.1359823333333333,-0.020615,0.12466,0.73144,0.98355,1.0,-2.5338566666666664,1.3201566023073811e-08,-0.5555056666666667,0.9752075490781338,2.5338566666666664,1.3201566023073811e-08,1.978351,0.1286207933726156,Tier 1 (Hard)
Phatr3_EG00286,7,-0.230274,-0.066623,0.043781,0.60137,0.94688,0.97601,2.3016666666666663,1.0568,0.053778,0.61333,0.29061,0.58685,-0.3271333333333333,-0.21041,0.03559,0.58949,0.83335,0.93071,-2.5319406666666664,1.3351586232747946e-08,0.0968593333333333,0.9940094336855764,2.5319406666666664,1.3351586232747946e-08,2.6288,0.0180993349560459,Tier 1 (Hard)
Phatr3_EG01596,2,0.0484066666666666,0.012486,0.59814,0.93975,0.99004,1.0,2.5694666666666666,0.3828,0.12257,0.76118,0.70187,0.77579,-0.3992833333333332,-0.084077,0.1658,0.78839,0.933,0.98087,-2.52106,1.5778855309815273e-08,0.4476899999999999,0.9752075490781338,2.52106,1.5778855309815273e-08,2.96875,0.0061382508739736,Tier 1 (Hard)
Phatr3_J44595,7,-0.9142066666666668,-0.56821,0.0031929,0.24615,0.56989,0.75174,1.568266666666667,1.3351,0.48093,0.90265,0.18185,0.58685,0.2917626666666666,0.069328,0.18887,0.81433,0.94473,0.98539,-2.482473333333333,2.9963289053617594e-08,-1.2059693333333334,0.3706846461818943,2.482473333333333,2.9963289053617594e-08,1.2765040000000003,0.6534897015242962,Tier 1 (Hard)
Phatr3_J46199,7,-0.3019966666666666,-0.085949,0.036108,0.58871,0.93151,0.96548,2.1719666666666666,0.94496,0.087245,0.71768,0.34468,0.58685,1.05037,0.31979,0.73823,0.96633,0.74913,0.89341,-2.4739633333333333,3.392374539102701e-08,-1.3523666666666667,0.242887149734207,2.4739633333333333,3.392374539102701e-08,1.1215966666666666,0.7974158373576916,Tier 1 (Hard)
Phatr3_J50695,7,0.295486,0.053803,0.21117,0.84737,0.95709,0.98323,2.7468000000000004,0.75145,0.0075059,0.35078,0.45238,0.59805,0.1088073333333333,-0.015551,0.11687,0.71961,0.98759,1.0,-2.4513140000000004,4.7802471366885454e-08,0.1866786666666667,0.9872190415514692,2.4513140000000004,4.7802471366885454e-08,2.637992666666667,0.0180993349560459,Tier 1 (Hard)
