Gene,sgRNA,t1_Fe_deplete|beta,t1_Fe_deplete|z,t1_Fe_deplete|p-value,t1_Fe_deplete|fdr,t1_Fe_deplete|wald-p-value,t1_Fe_deplete|wald-fdr,t1_Mn_deplete|beta,t1_Mn_deplete|z,t1_Mn_deplete|p-value,t1_Mn_deplete|fdr,t1_Mn_deplete|wald-p-value,t1_Mn_deplete|wald-fdr,t1_Fe_replete|beta,t1_Fe_replete|z,t1_Fe_replete|p-value,t1_Fe_replete|fdr,t1_Fe_replete|wald-p-value,t1_Fe_replete|wald-fdr,t1_Fe_deplete_vs_t1_Mn_deplete_delta_beta,t1_Fe_deplete_vs_t1_Mn_deplete_fdr,t1_Fe_deplete_vs_t1_Fe_replete_delta_beta,t1_Fe_deplete_vs_t1_Fe_replete_fdr,t1_Mn_deplete_vs_t1_Fe_deplete_delta_beta,t1_Mn_deplete_vs_t1_Fe_deplete_fdr,t1_Mn_deplete_vs_t1_Fe_replete_delta_beta,t1_Mn_deplete_vs_t1_Fe_replete_fdr,Significance_Tier,neg_log_fdr
Phatr3_J48040,1,-0.2124789066666666,-0.011734,0.77566,0.97109,0.99064,1.0,-0.7258033333333334,-0.033252,0.38691,0.88156,0.97347,0.98902,3.5067,0.21324,0.10919,0.71469,0.83114,0.92967,0.5133244266666667,0.924611835364978,-3.7191789066666665,1.824315223331041e-08,-0.5133244266666667,0.924611835364978,-4.232503333333334,4.047319950295503e-06,Tier 1 (Hard),0.03404055173587966
Phatr3_J37028,1,0.4331866666666666,0.043648,0.91483,0.99068,0.96518,0.98739,-1.0723,-0.071759,0.19285,0.81874,0.94279,0.96366,3.001333333333333,0.26368,0.19998,0.82486,0.79203,0.91052,1.5054866666666666,0.0038088601371045,-2.5681466666666664,0.0005873878436585,-1.5054866666666666,0.0038088601371045,-4.073633333333333,8.931473116202682e-06,Tier 1 (Hard),2.419204974402494
Phatr3_EG00100,2,0.4551466666666666,0.14574,0.74562,0.96936,0.88413,0.93533,-0.6854266666666667,-0.14651,0.19911,0.82032,0.88351,0.91828,2.309633333333333,0.65138,0.29836,0.89109,0.5148,0.80992,1.1405733333333334,0.069310141814042,-1.8544866666666664,0.028889619705731,-1.1405733333333334,0.069310141814042,-2.99506,0.0056951149186202,Tier 1 (Hard),1.1592032125448095
Phatr3_EG01261,2,1.931533333333333,0.30117,0.44639,0.90301,0.76328,0.85433,0.091,0.042995,0.60361,0.93568,0.96571,0.98246,2.9145,0.46232,0.074139,0.67051,0.64385,0.84549,1.8405333333333331,0.0001322732947911,-0.9829666666666664,0.6202384296390991,-1.8405333333333331,0.0001322732947911,-2.8235,0.0103115576659304,Tier 2 (Lenient),3.8785278252091673
Phatr3_EG01234,1,0.3139733333333333,0.15579,0.95284,0.99435,0.8762,0.92982,-1.1489366666666667,-0.36903,0.15894,0.79816,0.7121,0.78419,1.6303666666666663,0.67829,0.59448,0.93738,0.49759,0.80607,1.46291,0.0057107487671018,-1.316393333333333,0.2717361595792459,-1.46291,0.0057107487671018,-2.779303333333333,0.0119024531374054,Tier 2 (Lenient),2.243306945250572
Phatr3_EG00900,1,1.3199666666666667,0.12194,0.68066,0.95546,0.90294,0.9472,0.7397166666666667,0.084324,0.8328,0.98659,0.9328,0.95523,3.3559666666666668,0.28369,0.14901,0.76287,0.77665,0.90362,0.58025,0.8252773667422046,-2.036,0.0117772501987654,-0.58025,0.8252773667422046,-2.61625,0.0180993349560459,Tier 2 (Lenient),0.08340006526666233
Phatr3_EG00753,2,-0.4389266666666667,-0.14147,0.3163,0.86899,0.8875,0.93766,-0.67821,-0.1562,0.20649,0.82567,0.87587,0.91242,1.8629,0.60285,0.5513,0.92964,0.54661,0.81617,0.2392833333333333,0.9795438920338578,-2.3018266666666665,0.0026413187033069,-0.2392833333333333,0.9795438920338578,-2.54111,0.0243638794539173,Tier 2 (Lenient),0.008976099085825603
Phatr3_J27821,7,-0.1282589999999999,-0.095267,0.058475,0.63484,0.9241,0.96059,-1.2859033333333334,-1.3123,3.3434e-05,0.0051724,0.18943,0.58685,1.2474333333333334,1.562,0.99076,0.9989,0.11829,0.79149,1.1576443333333335,0.061825592944249,-1.3756923333333333,0.2237873739657811,-1.1576443333333335,0.061825592944249,-2.533336666666667,0.0248655473581387,Tier 2 (Lenient),1.208831709796995
Phatr3_J34358,1,-0.9348633333333334,-0.10226,0.20662,0.84737,0.91855,0.95703,0.5696,0.087513,0.88352,0.99285,0.93026,0.95386,3.0195000000000003,0.33991,0.19878,0.82325,0.73392,0.88633,-1.5044633333333333,0.0038373027150607,-3.9543633333333337,2.037482627059717e-09,1.5044633333333333,0.0038373027150607,-2.4499000000000004,0.0348071803610706,Tier 2 (Lenient),2.415973938948932
Phatr3_EG02242,7,-0.0880329999999999,-0.018808,0.064226,0.6405,0.98499,1.0,-0.7231299999999999,-0.36336,0.0052992,0.28818,0.71633,0.78684,1.7186666666666666,1.1993,0.43499,0.90736,0.23042,0.79149,0.6350969999999999,0.7367444099692675,-1.8066996666666664,0.0366558273191618,-0.6350969999999999,0.7367444099692675,-2.4417966666666664,0.0355935919798195,Tier 2 (Lenient),0.1326831506640252
Phatr3_J45920,7,-1.03086,-1.8989,0.0016215,0.1437,0.057576,0.72576,-1.0806233333333333,-1.4998,0.00048479,0.046774,0.13367,0.58685,1.2930666666666666,2.3877,0.95262,0.99522,0.016952,0.79149,0.0497633333333333,0.9926179802376888,-2.3239266666666665,0.0023202508793942,-0.0497633333333333,0.9926179802376888,-2.37369,0.0427356049698565,Tier 2 (Lenient),0.003217862276190891
Phatr3_J50344,1,-1.18172,-0.42264,0.084888,0.67463,0.67256,0.79993,-1.3671466666666667,-0.40994,0.063106,0.64987,0.68185,0.75871,0.98713,0.34724,0.739,0.96633,0.72841,0.88309,0.1854266666666666,0.9841788218026328,-2.16885,0.0057084390599699,-0.1854266666666666,0.9841788218026328,-2.354276666666667,0.0441704503299274,Tier 2 (Lenient),0.006925984630913728
Phatr3_EG00762,3,0.7592500000000001,0.53113,0.70737,0.95954,0.59533,0.76198,-0.8657266666666666,-0.4263,0.045353,0.59959,0.66989,0.74923,1.4532333333333334,0.93881,0.80023,0.97225,0.34783,0.79149,1.6249766666666667,0.0012138674170724,-0.6939833333333333,0.9128897518409308,-1.6249766666666667,0.0012138674170724,-2.31896,0.0488738025602758,Tier 2 (Lenient),2.9158287455045366
