Gene,sgRNA,t1_NH4_growth|beta,t1_NH4_growth|z,t1_NH4_growth|p-value,t1_NH4_growth|fdr,t1_NH4_growth|wald-p-value,t1_NH4_growth|wald-fdr,t2_N_stress|beta,t2_N_stress|z,t2_N_stress|p-value,t2_N_stress|fdr,t2_N_stress|wald-p-value,t2_N_stress|wald-fdr,t3_NH4_recovery|beta,t3_NH4_recovery|z,t3_NH4_recovery|p-value,t3_NH4_recovery|fdr,t3_NH4_recovery|wald-p-value,t3_NH4_recovery|wald-fdr,t3_NO3_recovery|beta,t3_NO3_recovery|z,t3_NO3_recovery|p-value,t3_NO3_recovery|fdr,t3_NO3_recovery|wald-p-value,t3_NO3_recovery|wald-fdr,t2_N_stress_vs_t1_NH4_growth_delta_beta,t2_N_stress_vs_t1_NH4_growth_fdr,t3_NH4_recovery_vs_t2_N_stress_delta_beta,t3_NH4_recovery_vs_t2_N_stress_fdr,t3_NH4_recovery_vs_t3_NO3_recovery_delta_beta,t3_NH4_recovery_vs_t3_NO3_recovery_fdr,t3_NO3_recovery_vs_t1_NH4_growth_delta_beta,t3_NO3_recovery_vs_t1_NH4_growth_fdr,t3_NO3_recovery_vs_t2_N_stress_delta_beta,t3_NO3_recovery_vs_t2_N_stress_fdr,t3_NO3_recovery_vs_t3_NH4_recovery_delta_beta,t3_NO3_recovery_vs_t3_NH4_recovery_fdr,Significance_Tier
Phatr3_EG01839,1,0.49365,0.22242,0.64475,0.94655,0.82399,1,-1.5977725,-2.446,0.0017051,0.136,0.014446,1,-0.0021189999999999,0.068191,0.91968,0.98792,0.94563,0.97598,-0.3948824999999999,-1.458,0.51765,0.88704,0.14483,0.26049,-2.0914225,7.495337683849357e-12,1.5956535,3.0605962209051535e-10,0.3927635,3.8719022938589857e-05,-0.8885325,0.1305159375152565,1.20289,2.9437145496746808e-05,-0.3927635,3.8719022938589857e-05,Tier 1 (Hard)
Phatr3_J22332,1,1.0243575,0.99244,0.07123,0.67208,0.32098,1,-1.005545,-1.3371,0.042143,0.65349,0.1812,1,-0.4510824999999999,-1.4664,0.4395,0.86869,0.14255,0.29846,-0.3586275,-1.2423,0.55779,0.90133,0.21413,0.33901,-2.0299025000000004,1.4990675367698714e-11,0.5544625000000002,0.4373416939019599,-0.0924549999999999,0.9590759261924724,-1.382985,0.0002621035707718,0.6469175000000001,0.2085713071191071,0.0924549999999999,0.9590759261924724,Tier 1 (Hard)
Phatr3_Jdraft1761,1,0.3522635,0.083338,0.90722,0.99205,0.93358,1,-1.428325,-1.629,0.0041625,0.25938,0.10332,1,-0.2859224999999999,-0.74496,0.64938,0.92885,0.4563,0.61532,0.168512625,0.6435,0.64696,0.92347,0.5199,0.64287,-1.7805885,1.4339080678382744e-08,1.1424025000000002,0.0001013886608296,-0.4544351249999999,4.90239492384649e-07,-0.183750875,0.9897947920591554,1.596837625,8.382285976438196e-10,0.4544351249999999,4.90239492384649e-07,Tier 1 (Hard)
Phatr3_EG00280,1,0.51441,0.17875,0.61073,0.93753,0.85814,1,-1.0978975,-1.2153,0.019793,0.53454,0.22425,1,-0.58277,-1.4585,0.31934,0.82048,0.14471,0.30083,-0.348615,-0.94263,0.5727,0.90472,0.34587,0.47943,-1.6123075,6.972959046994529e-07,0.5151275,0.5383722992045035,-0.234155,0.1163712416681295,-0.863025,0.1600551429789625,0.7492825,0.0681516654856476,0.234155,0.1163712416681295,Tier 1 (Hard)
Phatr3_Jdraft1182,2,0.333244,0.11944,0.80879,0.98098,0.90493,1,-1.20046,-2.188,0.00031762,0.073913,0.02867,1,-0.5897249999999999,-2.4506,0.10179,0.63131,0.014263,0.159,-0.461845,-2.1509,0.18248,0.7158,0.031485,0.10915,-1.5337040000000002,3.809401831114359e-06,0.6107350000000001,0.2802762963895171,-0.1278799999999999,0.8348551748126531,-0.7950889999999999,0.2496522033227992,0.738615,0.0785377376349386,0.1278799999999999,0.8348551748126531,Tier 1 (Hard)
Phatr3_J49705,2,0.4324785,0.22447,0.58405,0.93405,0.82239,1,-1.0847475,-2.1769,0.00078569,0.073913,0.029489,1,-0.094864,-0.36243,0.67752,0.93608,0.71703,0.82314,0.0180405,0.32195,0.91372,0.9887,0.74749,0.83028,-1.517226,4.807249752047937e-06,0.9898835,0.0020678407845468,-0.1129045,0.9096233436912228,-0.414438,0.9039103322846834,1.102788,0.0002518150705988,0.1129045,0.9096233436912228,Tier 1 (Hard)
Phatr3_EG00293,1,0.62326,0.63416,0.40829,0.90342,0.52598,1,-0.882165,-2.1431,0.071732,0.68213,0.032103,1,0.1818659,1.2545,0.63599,0.92535,0.20968,0.37131,-0.01019425,0.22873,0.92417,0.9901,0.81908,0.88236,-1.505425,5.751642312645799e-06,1.0640309,0.0005102184216182,0.19206015,0.3580287944996975,-0.63345425,0.5613923116135544,0.87197075,0.0131106335140555,-0.19206015,0.3580287944996975,Tier 1 (Hard)
Phatr3_J36115,1,0.71114,0.41909,0.25971,0.84827,0.67515,1,-0.7383649999999999,-0.80123,0.13719,0.74476,0.423,1,-1.20046,-3.3379,0.0277,0.44832,0.00084428,0.040083,-1.0978975,-3.603,0.041341,0.49361,0.00031453,0.014139,-1.4495049999999998,1.884742802301294e-05,-0.4620950000000001,0.6653926711410539,-0.1025625000000001,0.9372039721021248,-1.8090375,5.0375331757853324e-08,-0.3595325,0.8725951512990854,0.1025625000000001,0.9372039721021248,Tier 2 (Lenient)
Phatr3_EG01716,1,0.1973089499999999,0.012512,0.85505,0.98951,0.99002,1,-1.242955,-1.8774,0.011016,0.42532,0.060457,1,-0.49302,-1.7636,0.39617,0.85591,0.077796,0.2261,-0.158509,-0.48454,0.83857,0.9714,0.628,0.73712,-1.44026395,2.13800848169508e-05,0.749935,0.0782110815994862,-0.334511,0.0014639438426964,-0.35581795,0.9523537468078112,1.084446,0.0003640788167432,0.334511,0.0014639438426964,Tier 2 (Lenient)
Phatr3_J49787,1,0.5613775,0.42551,0.52753,0.92087,0.67046,1,-0.8647575000000001,-1.8117,0.072367,0.68443,0.070027,1,-0.10430675,-0.4527,0.91021,0.98747,0.65076,0.77432,0.0267045,0.40619,0.87247,0.98009,0.6846,0.78151,-1.426135,2.7108105632944746e-05,0.7604507500000001,0.0735675565342945,-0.13101125,0.8273521850724854,-0.534673,0.7326232401026767,0.8914620000000001,0.0104363779697371,0.13101125,0.8273521850724854,Tier 2 (Lenient)
Phatr3_EG00249,1,0.3539707499999999,0.10001,0.90346,0.99111,0.92034,1,-1.0677925,-1.4585,0.025309,0.56704,0.14469,1,-0.2737625,-0.84487,0.6654,0.93393,0.39818,0.56488,-0.177485,-0.5104,0.8066,0.96329,0.60977,0.72131,-1.42176325,2.7108105632944746e-05,0.7940299999999999,0.0521855357283472,-0.0962775,0.9473530945931878,-0.5314557499999999,0.7367184493486602,0.8903074999999999,0.0104363779697371,0.0962775,0.9473530945931878,Tier 2 (Lenient)
Phatr3_EG00829,1,0.327781,0.095201,0.9441,0.99438,0.92416,1,-1.0370175,-1.5758,0.031545,0.618,0.11507,1,-0.169577,-0.56301,0.81204,0.97062,0.57343,0.71271,-0.164916,-0.51466,0.82621,0.9675,0.60679,0.71865,-1.3647985,7.934254359466387e-05,0.8674405,0.0183007736258398,-0.0046609999999999,0.9973202363065814,-0.492697,0.7992058056529194,0.8721014999999999,0.0131106335140555,0.0046609999999999,0.9973202363065814,Tier 2 (Lenient)
Phatr3_EG00194,1,0.19458025,0.0077114,0.85199,0.98951,0.99385,1,-1.145615,-1.1612,0.018472,0.51636,0.24558,1,-0.51925,-1.2442,0.37317,0.84772,0.21341,0.37531,-0.129689,-0.24238,0.88042,0.98187,0.80848,0.8752,-1.34019525,0.0001258900037089,0.6263650000000001,0.2370694813695862,-0.389561,4.676754250543032e-05,-0.32426925,0.9705913252599546,1.015926,0.0011634828693396,0.389561,4.676754250543032e-05,Tier 2 (Lenient)
Phatr3_EG01836,1,0.5600175000000001,0.32309,0.53029,0.92159,0.74663,1,-0.7713525000000001,-1.1605,0.12284,0.7362,0.24585,1,-0.6026525,-2.294,0.30184,0.81122,0.021792,0.17183,-0.47597,-2.0329,0.42441,0.85665,0.042063,0.12414,-1.3313700000000002,0.0001355450785302,0.1687,0.9971994410052348,-0.1266825,0.8488971337835652,-1.0359875,0.0344880322486989,0.2953825000000001,0.9479517936894604,0.1266825,0.8488971337835652,Tier 2 (Lenient)
Phatr3_EG00518,1,0.417133,0.18967,0.79723,0.97733,0.84956,1,-0.9124125,-1.5927,0.061117,0.6565,0.11123,1,-0.25343,-1.0418,0.69789,0.94345,0.29753,0.46433,-0.31183,-1.3894,0.61769,0.91834,0.16472,0.28414,-1.3295455,0.0001355450785302,0.6589825,0.1802879037487996,0.0584,0.994967307567788,-0.728963,0.3841960165374489,0.6005825,0.3284077352182279,-0.0584,0.994967307567788,Tier 2 (Lenient)
Phatr3_EG00105,1,0.5638725,0.26573,0.52086,0.91619,0.79045,1,-0.6856424999999999,-0.82441,0.16742,0.77092,0.40971,1,-0.4812524999999999,-1.5215,0.40363,0.85864,0.12812,0.28269,-0.4950475,-1.7259,0.40135,0.84786,0.084365,0.18252,-1.249515,0.0005933851255429,0.2043899999999999,0.9926982009986168,0.013795,0.994967307567788,-1.05892,0.0264361997055388,0.1905949999999999,0.989552171595546,-0.013795,0.994967307567788,Tier 2 (Lenient)
Phatr3_J42528,1,0.60054,0.48497,0.44634,0.9071,0.6277,1,-0.6026525,-1.1368,0.22334,0.79888,0.25563,1,-0.15319525,-0.69336,0.83775,0.97593,0.48809,0.64314,0.052363,0.53684,0.83188,0.96938,0.59138,0.70675,-1.2031925,0.0013842175039171,0.44945725,0.6944220171228387,-0.20555825,0.2634760529206111,-0.5481769999999999,0.7192641296495829,0.6550155000000001,0.1899273991320221,0.20555825,0.2634760529206111,Tier 2 (Lenient)
Phatr3_EG00753,2,0.362897,0.222,0.75032,0.96757,0.82432,1,-0.8139775,-2.1701,0.016499,0.50076,0.029996,1,0.2152535,1.65,0.64768,0.92859,0.098942,0.25179,-0.03529625,0.056079,0.79943,0.96309,0.95528,0.97759,-1.1768745,0.0021752041049592,1.029231,0.0009761025806563,0.25054975,0.0664167253926437,-0.39819325,0.9273808501301428,0.77868125,0.0478882184376861,-0.25054975,0.0664167253926437,Tier 2 (Lenient)
Phatr3_EG00936,1,0.641765,0.37638,0.36222,0.89066,0.70663,1,-0.45645,-0.57351,0.3395,0.85301,0.5663,1,-0.08767125,-0.22799,0.93833,0.98833,0.81966,0.89523,0.02435175,0.24742,0.87531,0.98137,0.80458,0.87232,-1.0982150000000002,0.00794695434736,0.36877875,0.8491393587156241,-0.112023,0.9096233436912228,-0.61741325,0.6048468090123914,0.48080175,0.6387853390556888,0.112023,0.9096233436912228,Tier 2 (Lenient)
Phatr3_EG01578,2,0.37348825,0.18216,0.72437,0.96378,0.85545,1,-0.723015,-1.4144,0.038549,0.64603,0.15724,1,-0.4183525,-2.1383,0.21859,0.74732,0.032491,0.18187,-0.4290625,-2.4338,0.20772,0.74097,0.014942,0.08315,-1.09650325,0.00794695434736,0.3046624999999999,0.908278557171607,0.0107099999999999,0.994967307567788,-0.80255075,0.2331381167287826,0.2939524999999999,0.9497590938949012,-0.0107099999999999,0.994967307567788,Tier 2 (Lenient)
Phatr3_EG01699,1,0.337101,0.097962,0.92959,0.9941,0.92196,1,-0.753705,-0.99045,0.13489,0.74162,0.32196,1,-0.882165,-2.9089,0.12335,0.66196,0.0036266,0.096205,-0.18969875,-0.60121,0.78937,0.96067,0.5477,0.66748,-1.090806,0.0084922636367718,-0.12846,0.9971994410052348,-0.69246625,0.0,-0.52679975,0.7407917369450401,0.5640062499999999,0.410604891352981,0.69246625,0.0,Tier 2 (Lenient)
Phatr3_EG00717,1,0.528725,0.21803,0.58726,0.93526,0.82741,1,-0.531015,-0.60732,0.2768,0.82702,0.54364,1,-0.665585,-1.9321,0.25043,0.77462,0.053348,0.20014,-0.37178,-1.1888,0.5397,0.8945,0.23453,0.36186,-1.05974,0.0135359698971798,-0.1345699999999999,0.9971994410052348,-0.293805,0.0117817644396412,-0.900505,0.1171505667093898,0.159235,0.9915773966668434,0.293805,0.0117817644396412,Tier 2 (Lenient)
Phatr3_EG01275,2,0.263612,0.082192,0.96526,0.996,0.93449,1,-0.78317,-1.7708,0.017001,0.50521,0.076587,1,0.08603225,0.61934,0.93231,0.98833,0.5357,0.68261,0.0068802499999999,0.31575,0.8882,0.98319,0.75219,0.83365,-1.046782,0.0163139698787871,0.8692022500000001,0.0182235403932216,0.079152,0.9760379172644944,-0.25673175,0.9897947920591554,0.7900502500000001,0.0418919842851231,-0.079152,0.9760379172644944,Tier 2 (Lenient)
Phatr3_J39221,1,0.46185,0.23017,0.7109,0.96135,0.81796,1,-0.5737650000000001,-0.90764,0.24072,0.80537,0.36407,1,-0.53309,-2.1829,0.35781,0.83986,0.029044,0.1774,-0.4455525,-2.006,0.45373,0.8658,0.044861,0.12867,-1.0356150000000002,0.0188714245312451,0.0406750000000001,0.9971994410052348,-0.0875374999999999,0.9690739518168352,-0.9074025,0.1101991871186525,0.1282125,0.992740214821575,0.0875374999999999,0.9690739518168352,Tier 2 (Lenient)
Phatr3_EG01759,1,0.0423382499999999,-0.065439,0.65995,0.94819,0.94782,1,-0.9922225,-1.3644,0.046657,0.65573,0.17243,1,-0.4558525,-1.5699,0.43273,0.86827,0.11643,0.27,-0.626925,-2.483,0.26618,0.77958,0.013029,0.081216,-1.03456075,0.0188714245312451,0.53637,0.4707018780297619,0.1710724999999999,0.510273241515451,-0.66926325,0.5033311911414574,0.3652975,0.8692255486888443,-0.1710724999999999,0.510273241515451,Tier 2 (Lenient)
Phatr3_EG02594,1,0.39449,0.12103,0.83671,0.98538,0.90367,1,-0.626925,-0.72978,0.21045,0.79053,0.46552,1,-0.8647575000000001,-2.5483,0.12924,0.66615,0.010826,0.1474,-0.18465125,-0.51571,0.79734,0.96222,0.60605,0.71826,-1.021415,0.0199900660605528,-0.2378325000000001,0.9685914531777564,-0.6801062500000001,0.0,-0.5791412499999999,0.6702513939261057,0.4422737499999999,0.7274862861359772,0.6801062500000001,0.0,Tier 2 (Lenient)
Phatr3_J37845,1,0.32078775,0.078067,0.95336,0.996,0.93777,1,-0.6995875,-0.8311,0.16045,0.76193,0.40592,1,-0.30549,-0.93041,0.62063,0.92068,0.35216,0.52015,-0.775025,-2.9089,0.14122,0.67371,0.0036275,0.058214,-1.02037525,0.0199900660605528,0.3940975,0.7952039525873474,0.469535,1.419531177345353e-07,-1.09581275,0.0168048650923283,-0.0754374999999999,0.9989761735295324,-0.469535,1.419531177345353e-07,Tier 2 (Lenient)
Phatr3_EG02586,1,0.05953,-0.049178,0.68054,0.95373,0.96078,1,-0.95401,-1.125,0.052374,0.65573,0.26058,1,-0.95401,-2.6619,0.097058,0.62784,0.0077709,0.13372,-0.53309,-1.74,0.36493,0.8356,0.081855,0.17916,-1.01354,0.0218232436953082,0.0,1.0,-0.42092,6.004309470712714e-06,-0.5926199999999999,0.6601972018817387,0.42092,0.7641954154080022,0.42092,6.004309470712714e-06,Tier 2 (Lenient)
Phatr3_EG01922,1,0.5934425,0.32026,0.46499,0.9071,0.74877,1,-0.4183525,-0.56615,0.37046,0.86305,0.57129,1,-1.145615,-3.6725,0.049365,0.55226,0.00024023,0.01752,-0.723015,-2.9226,0.18047,0.71476,0.0034709,0.05749,-1.011795,0.021955697377101,-0.7272625,0.0926792988494096,-0.4226000000000001,5.419797896107544e-06,-1.3164574999999998,0.000740774015473,-0.3046624999999999,0.9391498029303308,0.4226000000000001,5.419797896107544e-06,Tier 2 (Lenient)
Phatr3_EG01232,1,0.61702,0.25598,0.41777,0.90613,0.79797,1,-0.388965,-0.39232,0.39122,0.87227,0.69482,1,0.389322,1.0203,0.35756,0.83965,0.30759,0.47441,0.3703035,1.1068,0.37432,0.83963,0.26838,0.39922,-1.005985,0.0232594624228009,0.7782870000000001,0.0627915723170931,0.0190185,0.994967307567788,-0.2467165,0.9897947920591554,0.7592685,0.0601421672271367,-0.0190185,0.994967307567788,Tier 2 (Lenient)
Phatr3_J16719,1,0.2889795,0.067609,0.99575,0.99881,0.9461,1,-0.7165525,-0.94524,0.15639,0.75901,0.34454,1,-0.42669,-1.4665,0.47681,0.88389,0.14251,0.29846,-0.3365775,-1.2294,0.58927,0.90915,0.21891,0.34456,-1.005532,0.0232594624228009,0.2898625,0.9308523348100786,-0.0901125,0.9638049674129956,-0.6255569999999999,0.5849516707326126,0.379975,0.8356831557320739,0.0901125,0.9638049674129956,Tier 2 (Lenient)
