Gene_ID,Comparison,Delta_Beta,FDR,Significance_Tier
Phatr3_J12888,t3_NH4_recovery_vs_t2_N_stress,-2.3371475,0.0,Tier 1 (Hard)
Phatr3_J12888,t3_NO3_recovery_vs_t2_N_stress,-2.3371475,0.0,Tier 1 (Hard)
Phatr3_EG01839,t2_N_stress_vs_t1_NH4_growth,-2.0914225,7.495337683849357e-12,Tier 1 (Hard)
Phatr3_J22332,t2_N_stress_vs_t1_NH4_growth,-2.0299025000000004,1.4990675367698714e-11,Tier 1 (Hard)
Phatr3_J51128,t3_NO3_recovery_vs_t1_NH4_growth,-1.93793,2.4172464030414176e-09,Tier 1 (Hard)
Phatr3_J11472,t3_NH4_recovery_vs_t2_N_stress,-1.86427125,0.0,Tier 1 (Hard)
Phatr3_J36115,t3_NO3_recovery_vs_t1_NH4_growth,-1.8090375,5.0375331757853324e-08,Tier 1 (Hard)
Phatr3_Jdraft1761,t2_N_stress_vs_t1_NH4_growth,-1.7805885,1.4339080678382744e-08,Tier 1 (Hard)
Phatr3_J12888,t3_NO3_recovery_vs_t1_NH4_growth,-1.77066854175,1.0073109235619881e-07,Tier 1 (Hard)
Phatr3_EG00280,t2_N_stress_vs_t1_NH4_growth,-1.6123075,6.972959046994529e-07,Tier 1 (Hard)
Phatr3_J11472,t3_NO3_recovery_vs_t1_NH4_growth,-1.6002725,4.919162639005492e-06,Tier 1 (Hard)
Phatr3_Jdraft1182,t2_N_stress_vs_t1_NH4_growth,-1.5337040000000002,3.809401831114359e-06,Tier 1 (Hard)
Phatr3_EG00524,t3_NO3_recovery_vs_t1_NH4_growth,-1.52036,2.1081003793531143e-05,Tier 1 (Hard)
Phatr3_J49705,t2_N_stress_vs_t1_NH4_growth,-1.517226,4.807249752047937e-06,Tier 1 (Hard)
Phatr3_EG00293,t2_N_stress_vs_t1_NH4_growth,-1.505425,5.751642312645799e-06,Tier 1 (Hard)
Phatr3_J11472,t3_NO3_recovery_vs_t2_N_stress,-1.50373875,9.758305052898208e-09,Tier 1 (Hard)
Phatr3_Jdraft1298,t3_NO3_recovery_vs_t1_NH4_growth,-1.4919395,3.4161108617980496e-05,Tier 2 (Lenient)
Phatr3_Jdraft1298,t3_NO3_recovery_vs_t2_N_stress,-1.45076475,4.3146661532489364e-08,Tier 2 (Lenient)
Phatr3_J36115,t2_N_stress_vs_t1_NH4_growth,-1.4495049999999998,1.884742802301294e-05,Tier 2 (Lenient)
Phatr3_EG01716,t2_N_stress_vs_t1_NH4_growth,-1.44026395,2.13800848169508e-05,Tier 2 (Lenient)
Phatr3_J49787,t2_N_stress_vs_t1_NH4_growth,-1.426135,2.7108105632944746e-05,Tier 2 (Lenient)
Phatr3_EG00249,t2_N_stress_vs_t1_NH4_growth,-1.42176325,2.7108105632944746e-05,Tier 2 (Lenient)
Phatr3_J22332,t3_NO3_recovery_vs_t1_NH4_growth,-1.382985,0.0002621035707718,Tier 2 (Lenient)
Phatr3_EG00829,t2_N_stress_vs_t1_NH4_growth,-1.3647985,7.934254359466387e-05,Tier 2 (Lenient)
Phatr3_EG00113,t3_NO3_recovery_vs_t1_NH4_growth,-1.35873575,0.0003855598795018,Tier 2 (Lenient)
Phatr3_EG00194,t2_N_stress_vs_t1_NH4_growth,-1.34019525,0.0001258900037089,Tier 2 (Lenient)
Phatr3_EG01836,t2_N_stress_vs_t1_NH4_growth,-1.3313700000000002,0.0001355450785302,Tier 2 (Lenient)
Phatr3_EG00518,t2_N_stress_vs_t1_NH4_growth,-1.3295455,0.0001355450785302,Tier 2 (Lenient)
Phatr3_EG01922,t3_NO3_recovery_vs_t1_NH4_growth,-1.3164574999999998,0.000740774015473,Tier 2 (Lenient)
Phatr3_EG01577,t3_NH4_recovery_vs_t2_N_stress,-1.293071225,3.253208493851171e-06,Tier 2 (Lenient)
Phatr3_J51128,t3_NO3_recovery_vs_t2_N_stress,-1.285226,4.408802954587137e-06,Tier 2 (Lenient)
Phatr3_EG00937,t3_NH4_recovery_vs_t2_N_stress,-1.2850575,3.5091347170279623e-06,Tier 2 (Lenient)
Phatr3_EG00105,t2_N_stress_vs_t1_NH4_growth,-1.249515,0.0005933851255429,Tier 2 (Lenient)
Phatr3_Jdraft590,t3_NO3_recovery_vs_t1_NH4_growth,-1.23978475,0.0028617763483127,Tier 2 (Lenient)
Phatr3_EG00515,t3_NO3_recovery_vs_t2_N_stress,-1.2201400000000002,2.321029783802775e-05,Tier 2 (Lenient)
Phatr3_EG01547,t3_NH4_recovery_vs_t2_N_stress,-1.21413875,1.967257253711176e-05,Tier 2 (Lenient)
Phatr3_J46977,t3_NH4_recovery_vs_t2_N_stress,-1.20635825,2.18476758656827e-05,Tier 2 (Lenient)
Phatr3_J42528,t2_N_stress_vs_t1_NH4_growth,-1.2031925,0.0013842175039171,Tier 2 (Lenient)
Phatr3_Jdraft1757,t3_NO3_recovery_vs_t1_NH4_growth,-1.19328,0.0051053629414931,Tier 2 (Lenient)
Phatr3_EG00753,t2_N_stress_vs_t1_NH4_growth,-1.1768745,0.0021752041049592,Tier 2 (Lenient)
Phatr3_J38100,t3_NO3_recovery_vs_t1_NH4_growth,-1.16239925,0.0074230925019593,Tier 2 (Lenient)
Phatr3_EG01436,t3_NO3_recovery_vs_t2_N_stress,-1.152957075,9.809270146595011e-05,Tier 2 (Lenient)
Phatr3_Jdraft590,t3_NH4_recovery_vs_t2_N_stress,-1.14093775,0.0001013886608296,Tier 2 (Lenient)
Phatr3_EG02493,t3_NO3_recovery_vs_t1_NH4_growth,-1.12743125,0.0121969229563805,Tier 2 (Lenient)
Phatr3_EG00099,t3_NO3_recovery_vs_t1_NH4_growth,-1.123026,0.012556801449086,Tier 2 (Lenient)
Phatr3_EG01436,t3_NO3_recovery_vs_t1_NH4_growth,-1.1202935,0.012556801449086,Tier 2 (Lenient)
Phatr3_EG02039,t3_NH4_recovery_vs_t2_N_stress,-1.10945625,0.0001922974868472,Tier 2 (Lenient)
Phatr3_EG01187,t3_NO3_recovery_vs_t1_NH4_growth,-1.10465225,0.0151014469978842,Tier 2 (Lenient)
Phatr3_EG00936,t2_N_stress_vs_t1_NH4_growth,-1.0982150000000002,0.00794695434736,Tier 2 (Lenient)
Phatr3_EG00904,t3_NH4_recovery_vs_t2_N_stress,-1.097535,0.0002411380926536,Tier 2 (Lenient)
Phatr3_EG01578,t2_N_stress_vs_t1_NH4_growth,-1.09650325,0.00794695434736,Tier 2 (Lenient)
Phatr3_J37845,t3_NO3_recovery_vs_t1_NH4_growth,-1.09581275,0.0168048650923283,Tier 2 (Lenient)
Phatr3_EG01699,t2_N_stress_vs_t1_NH4_growth,-1.090806,0.0084922636367718,Tier 2 (Lenient)
Phatr3_Jdraft1757,t3_NO3_recovery_vs_t2_N_stress,-1.0824175,0.0003640788167432,Tier 2 (Lenient)
Phatr3_EG00717,t2_N_stress_vs_t1_NH4_growth,-1.05974,0.0135359698971798,Tier 2 (Lenient)
Phatr3_EG00105,t3_NO3_recovery_vs_t1_NH4_growth,-1.05892,0.0264361997055388,Tier 2 (Lenient)
Phatr3_J47574,t3_NO3_recovery_vs_t1_NH4_growth,-1.05581975,0.0269081863480117,Tier 2 (Lenient)
Phatr3_EG00331,t3_NO3_recovery_vs_t1_NH4_growth,-1.04916325,0.0289685309621017,Tier 2 (Lenient)
Phatr3_EG00331,t3_NO3_recovery_vs_t2_N_stress,-1.04916325,0.0006621792662372,Tier 2 (Lenient)
Phatr3_Jdraft590,t3_NO3_recovery_vs_t2_N_stress,-1.04841275,0.0006621792662372,Tier 2 (Lenient)
Phatr3_EG00113,t3_NO3_recovery_vs_t2_N_stress,-1.048230825,0.0006621792662372,Tier 2 (Lenient)
Phatr3_EG01275,t2_N_stress_vs_t1_NH4_growth,-1.046782,0.0163139698787871,Tier 2 (Lenient)
Phatr3_EG01836,t3_NO3_recovery_vs_t1_NH4_growth,-1.0359875,0.0344880322486989,Tier 2 (Lenient)
Phatr3_J39221,t2_N_stress_vs_t1_NH4_growth,-1.0356150000000002,0.0188714245312451,Tier 2 (Lenient)
Phatr3_EG01759,t2_N_stress_vs_t1_NH4_growth,-1.03456075,0.0188714245312451,Tier 2 (Lenient)
Phatr3_J33915,t3_NO3_recovery_vs_t2_N_stress,-1.0280545,0.0009237144222669,Tier 2 (Lenient)
Phatr3_EG01258,t3_NO3_recovery_vs_t1_NH4_growth,-1.0272450000000002,0.038325778900347,Tier 2 (Lenient)
Phatr3_EG02594,t2_N_stress_vs_t1_NH4_growth,-1.021415,0.0199900660605528,Tier 2 (Lenient)
Phatr3_J37845,t2_N_stress_vs_t1_NH4_growth,-1.02037525,0.0199900660605528,Tier 2 (Lenient)
Phatr3_J48040,t3_NO3_recovery_vs_t2_N_stress,-1.0144025,0.0011634828693396,Tier 2 (Lenient)
Phatr3_EG02586,t2_N_stress_vs_t1_NH4_growth,-1.01354,0.0218232436953082,Tier 2 (Lenient)
Phatr3_EG01922,t2_N_stress_vs_t1_NH4_growth,-1.011795,0.021955697377101,Tier 2 (Lenient)
Phatr3_J46030,t3_NO3_recovery_vs_t1_NH4_growth,-1.009472,0.0465184398845741,Tier 2 (Lenient)
Phatr3_EG01436,t3_NO3_recovery_vs_t3_NH4_recovery,-1.007543,0.0,Tier 2 (Lenient)
Phatr3_EG01252,t3_NO3_recovery_vs_t1_NH4_growth,-1.00743975,0.0465184398845741,Tier 2 (Lenient)
Phatr3_EG01232,t2_N_stress_vs_t1_NH4_growth,-1.005985,0.0232594624228009,Tier 2 (Lenient)
Phatr3_J16719,t2_N_stress_vs_t1_NH4_growth,-1.005532,0.0232594624228009,Tier 2 (Lenient)
Phatr3_EG00937,t3_NO3_recovery_vs_t2_N_stress,-1.0048225,0.0012943766540214,Tier 2 (Lenient)
